shot_type,confidence,bat_angle,hit_quality,face_stability,stance_bend,front_foot_stance_score,shot_accuracy,feedback_paragraph
sweep,27.237893712103233,57.28271953164694,77.20159035293554,80.22966434462123,40.15110527985433,83.7984286751271,50.90087443418385,"Good sweep shot. Bat angle, hit quality provide controlled execution. Weak stance bend reduce shot effectiveness. Improving confidence will add consistency."
cover,9.106102627384727,6.496276756944431,67.17126036812404,52.72191329380327,51.03855005001944,11.44055473164861,96.19265099668523,"Good cover shot. Face stability, shot accuracy provide controlled execution. Weak bat angle reduce shot effectiveness. Improving front foot stance score will add consistency."
sweep,28.66740057583724,75.86086076028833,78.40242093152662,6.952297074818825,52.65470159437095,12.59319419345667,0.19094418641046884,"Excellent sweep shot. Bat angle, hit quality, stance bend provide controlled execution. Improving face stability will add consistency."
pull,71.84645096922057,84.24810413667682,39.35754732389939,32.46717018098199,72.02486344086783,63.64011983182548,33.125954264871424,"Excellent pull shot. Confidence, stance bend, front foot stance score provide controlled execution. Improving hit quality will add consistency."
sweep,32.03611943791117,84.84746806764807,44.20426302618561,94.51867623063947,76.95233181640715,92.96637663567451,70.341533214145,"Excellent sweep shot. Bat angle, stance bend provide controlled execution. Weak hit quality reduce shot effectiveness. Improving confidence will add consistency."
flick,61.54873309364232,57.29924503904454,36.264457086921794,66.06704478469939,39.499684502582056,24.687733971258773,96.06465242192168,Poor flick shot. Weak hit quality reduce shot effectiveness. Improving stance bend will add consistency.
pull,67.58793350798578,52.527256036837414,31.849661531110375,1.8998247403788748,59.33045876074763,28.778295226623317,98.49623458835791,Poor pull shot. Weak front foot stance score reduce shot effectiveness. Improving hit quality will add consistency.
cut,55.86529903911115,6.826507423423312,1.2269011484304149,92.18314681122754,13.081653082467582,58.3289575202788,68.34333368027029,"Poor cut shot. Weak bat angle, hit quality reduce shot effectiveness. Improving stance bend will add consistency."
cut,18.325323623707167,85.4820593840439,96.80483603155876,36.916528164108406,36.00866893451153,50.07343166052044,26.25512016045888,"Excellent cut shot. Bat angle, hit quality provide controlled execution. Weak confidence reduce shot effectiveness. Improving stance bend will add consistency."
sweep,34.99312188438228,81.28174672542434,4.235613985056396,55.122201571660135,76.61569880085509,12.902462136401827,55.23370404571298,"Excellent sweep shot. Bat angle, stance bend provide controlled execution. Weak hit quality reduce shot effectiveness. Improving front foot stance score will add consistency."
pull,24.931904262618907,9.485605898897342,20.272759477086645,5.52748919178584,42.152553509052424,90.96153684198455,11.539164944049885,"Good pull shot. Front foot stance score provide controlled execution. Weak confidence, stance bend reduce shot effectiveness. Improving bat angle will add consistency."
cut,85.54150226255922,64.4948751702816,95.20702134856408,34.6580360843069,89.32869453951199,54.25159115963739,93.65801318799734,"Excellent cut shot. Confidence, bat angle, hit quality provide controlled execution. Improving face stability will add consistency."
flick,93.74105595676693,23.897147245484575,61.05609818049602,52.550645630102885,87.77355324166821,99.57930994028766,73.50280218228663,Poor flick shot. Weak bat angle reduce shot effectiveness.
cut,83.75101093544951,76.9050934552392,36.33335527757109,83.65929525765064,8.450119529579181,97.12329865488836,55.55457717274391,"Excellent cut shot. Confidence, bat angle provide controlled execution. Weak hit quality reduce shot effectiveness. Improving stance bend will add consistency."
flick,11.814259766772462,62.15782006348728,22.706383096533667,3.5079985914602485,20.082929274969818,13.245906624728931,94.70143629256216,"Poor flick shot. Weak hit quality, face stability reduce shot effectiveness. Improving stance bend will add consistency."
cover,73.97265874347733,63.6672952822456,56.837946173669415,84.42643286143229,38.48258846129454,71.1507204534719,29.303215782524273,"Good cover shot. Bat angle, face stability provide controlled execution. Weak shot accuracy reduce shot effectiveness. Improving stance bend will add consistency."
pull,8.599385338181708,92.64655384729434,90.96085317317801,40.53625606413025,91.02299708432898,77.36992542558946,33.805095337394,"Excellent pull shot. Stance bend, front foot stance score provide controlled execution. Weak confidence reduce shot effectiveness. Improving face stability will add consistency."
cut,41.03674253379415,9.809102677312397,3.875826709771768,31.83033627775268,22.31994028413895,3.9756210936326752,25.500898470694587,"Poor cut shot. Weak confidence, bat angle, hit quality reduce shot effectiveness. Improving stance bend will add consistency."
flick,8.716147099940697,29.83899973551265,15.688177729988572,39.64086353492531,34.975765964760605,0.40369654798053656,0.17862440065701257,"Poor flick shot. Weak bat angle, hit quality, face stability reduce shot effectiveness. Improving stance bend will add consistency."
pull,37.10392835946293,19.5537461378988,70.42305615578344,77.02976459939654,66.52425526595404,8.507572205800562,33.01132943871284,"Poor pull shot. Weak confidence, front foot stance score reduce shot effectiveness. Improving bat angle will add consistency."
pull,44.51923363205046,53.56202814711523,55.97279503658357,55.05503316818135,6.259871680976625,6.382205491050108,34.28296557587088,"Poor pull shot. Weak confidence, stance bend, front foot stance score reduce shot effectiveness."
cut,85.12051000827445,19.71518293057105,70.45675484322453,58.83310733525193,83.16869578391713,38.89887135712801,56.24452421009586,"Excellent cut shot. Confidence, hit quality provide controlled execution. Weak bat angle reduce shot effectiveness. Improving front foot stance score will add consistency."
pull,32.23677797508431,88.26351751427387,75.64012130480255,78.65163495320053,28.259413964302603,64.32183142872249,82.39109260021567,"Poor pull shot. Weak confidence, stance bend reduce shot effectiveness."
flick,73.81413627303345,29.99576818519063,74.96301565608252,49.63681538702033,29.650560776905866,7.2646187134305595,63.81375415284418,"Good flick shot. Hit quality provide controlled execution. Weak bat angle, face stability reduce shot effectiveness. Improving stance bend will add consistency."
cover,55.79537674606237,40.295568070072584,80.14728861275093,62.19230825073843,16.53871120135261,54.96598355527954,70.58362641791724,"Good cover shot. Face stability, shot accuracy provide controlled execution. Weak bat angle reduce shot effectiveness. Improving stance bend will add consistency."
flick,39.20166313832784,53.14835969591377,90.99949102011162,27.711186526156805,97.617856226163,84.60018503081884,6.0424409014892655,"Good flick shot. Bat angle, hit quality provide controlled execution. Weak face stability reduce shot effectiveness. Improving confidence will add consistency."
flick,11.886125344162767,58.43581310417952,30.197890355471724,77.31111395372238,36.65811008322712,33.12256364741236,88.12738706932541,"Good flick shot. Bat angle, face stability provide controlled execution. Weak hit quality reduce shot effectiveness. Improving stance bend will add consistency."
cover,6.990736948353171,19.194933871117335,79.548846917881,2.9390360550529016,91.11190483409102,43.21243649216798,35.94352422864048,"Poor cover shot. Weak bat angle, face stability, shot accuracy reduce shot effectiveness. Improving front foot stance score will add consistency."
cut,10.726533643681558,57.1175166771135,64.33793249445601,40.74964848852618,52.33026267849448,51.13844554867636,19.058354511030917,Poor cut shot. Weak confidence reduce shot effectiveness. Improving face stability will add consistency.
cover,79.43335874049853,10.654834328954276,0.5366569642114127,7.708009582831266,15.952916934512118,68.51332955224971,81.54293833210971,"Good cover shot. Shot accuracy provide controlled execution. Weak bat angle, face stability reduce shot effectiveness. Improving stance bend will add consistency."
sweep,64.55844487607777,9.310817127997806,92.17105327967971,4.437005518526293,31.426647005095464,72.33556756266263,85.54403410075166,"Good sweep shot. Hit quality provide controlled execution. Weak bat angle, stance bend reduce shot effectiveness. Improving face stability will add consistency."
pull,85.04794017241576,26.55094802969007,20.872956664951236,44.68302545194427,54.08352100228737,53.70097099158508,82.94194933257444,"Good pull shot. Confidence, stance bend, front foot stance score provide controlled execution. Improving bat angle will add consistency."
cover,75.6411448253833,53.81311240297393,99.97543924994028,49.133497342321434,58.66260246748519,58.25928812866471,20.703268860423695,"Poor cover shot. Weak face stability, shot accuracy reduce shot effectiveness."
cover,75.44890900985258,58.10950914368449,45.337637990048016,74.85583578469246,95.26577262105114,75.67355591136372,62.67396491285388,"Good cover shot. Bat angle, face stability, shot accuracy provide controlled execution. Improving hit quality will add consistency."
pull,56.64735591114405,87.48428373522641,42.34620121822294,83.25127529243255,12.165203183016192,21.757257441290477,61.149780075458374,"Poor pull shot. Weak stance bend, front foot stance score reduce shot effectiveness. Improving hit quality will add consistency."
pull,32.97017897911175,3.202792054010728,73.77258262988533,65.28101350212616,55.49695986570292,68.20492038076365,94.70022174011592,Poor pull shot. Weak confidence reduce shot effectiveness. Improving bat angle will add consistency.
cut,88.37581478589937,61.059409180277555,28.601613925912016,62.478355940530065,79.8900717689033,11.648131201049129,48.44146775575282,"Good cut shot. Confidence, bat angle provide controlled execution. Weak hit quality reduce shot effectiveness. Improving front foot stance score will add consistency."
cut,82.70357482542856,23.980182694125894,47.31172756346667,40.892298578446926,71.52542055892769,85.85385597091924,76.20614101093037,"Good cut shot. Confidence provide controlled execution. Weak bat angle, hit quality reduce shot effectiveness. Improving face stability will add consistency."
flick,40.198707531788244,21.696137294958582,33.82002858961535,38.64806594066894,26.1784028341828,3.936784495882084,43.401387937027046,"Poor flick shot. Weak bat angle, hit quality, face stability reduce shot effectiveness. Improving stance bend will add consistency."
flick,48.57179130003991,33.208957039663765,76.63027998831741,80.08872430179078,20.38643443062902,72.01763120810487,97.61016400706583,"Excellent flick shot. Hit quality, face stability provide controlled execution. Weak bat angle reduce shot effectiveness. Improving stance bend will add consistency."
sweep,31.501808230872296,48.24201340999662,55.15375391544871,90.96746044359337,59.572707419131795,75.56266926376082,74.49872861735456,Poor sweep shot. Weak bat angle reduce shot effectiveness. Improving confidence will add consistency.
flick,60.91263175249113,84.47674311173246,22.678797728935653,22.465752633040616,46.832164037956304,92.60258844789014,20.469279995928513,"Good flick shot. Bat angle provide controlled execution. Weak hit quality, face stability reduce shot effectiveness. Improving stance bend will add consistency."
cut,44.363190135424404,74.68074791504176,58.19510615443488,81.38928085242154,47.67536237556668,2.95144691790461,7.018552262204858,"Good cut shot. Bat angle, hit quality provide controlled execution. Weak confidence reduce shot effectiveness. Improving stance bend will add consistency."
