shot_type,confidence,bat_angle,hit_quality,face_stability,stance_bend,front_foot_stance_score,shot_accuracy,feedback_paragraph
sweep,27.237893712103237,57.28271953164694,77.20159035293554,80.22966434462123,40.15110527985433,83.7984286751271,50.90087443418385,"Good sweep shot. Bat angle, hit quality provide controlled execution. Weak stance bend reduce shot effectiveness. Improving confidence will add consistency."
cover,9.106102627384727,6.496276756944431,67.17126036812404,52.72191329380327,51.03855005001944,11.44055473164861,96.19265099668524,"Good cover shot. Face stability, shot accuracy provide controlled execution. Weak bat angle reduce shot effectiveness. Improving front foot stance score will add consistency."
sweep,28.66740057583724,75.86086076028833,78.40242093152662,6.952297074818825,52.65470159437095,12.59319419345667,0.1909441864104688,"Excellent sweep shot. Bat angle, hit quality, stance bend provide controlled execution. Improving face stability will add consistency."
pull,71.84645096922057,84.24810413667682,39.35754732389939,32.46717018098199,72.02486344086783,63.64011983182548,33.125954264871424,"Excellent pull shot. Confidence, stance bend, front foot stance score provide controlled execution. Improving hit quality will add consistency."
sweep,32.03611943791117,84.84746806764807,44.20426302618561,94.51867623063949,76.95233181640715,92.96637663567452,70.341533214145,"Excellent sweep shot. Bat angle, stance bend provide controlled execution. Weak hit quality reduce shot effectiveness. Improving confidence will add consistency."
flick,61.54873309364232,57.29924503904454,36.264457086921794,66.06704478469939,39.499684502582056,24.687733971258773,96.06465242192168,Poor flick shot. Weak hit quality reduce shot effectiveness. Improving stance bend will add consistency.
pull,67.58793350798578,52.52725603683741,31.84966153111037,1.8998247403788748,59.33045876074763,28.77829522662332,98.49623458835792,Poor pull shot. Weak front foot stance score reduce shot effectiveness. Improving hit quality will add consistency.
cut,55.86529903911115,6.826507423423312,1.2269011484304149,92.18314681122754,13.081653082467582,58.3289575202788,68.34333368027029,"Poor cut shot. Weak bat angle, hit quality reduce shot effectiveness. Improving stance bend will add consistency."
cut,18.325323623707167,85.4820593840439,96.80483603155876,36.916528164108406,36.00866893451153,50.07343166052044,26.25512016045888,"Excellent cut shot. Bat angle, hit quality provide controlled execution. Weak confidence reduce shot effectiveness. Improving stance bend will add consistency."
sweep,34.99312188438228,81.28174672542434,4.235613985056396,55.122201571660135,76.61569880085509,12.902462136401828,55.23370404571298,"Excellent sweep shot. Bat angle, stance bend provide controlled execution. Weak hit quality reduce shot effectiveness. Improving front foot stance score will add consistency."
pull,24.931904262618907,9.485605898897342,20.272759477086645,5.52748919178584,42.15255350905242,90.96153684198455,11.539164944049883,"Good pull shot. Front foot stance score provide controlled execution. Weak confidence, stance bend reduce shot effectiveness. Improving bat angle will add consistency."
